run,region,n,median_length,median_com,median_com_per_res
full (2 regions),1,64,15.0,2.386,0.166
full (2 regions),2,64,6.0,3.73,0.622
auto 5 A (4 regions),1,64,4.0,3.286,0.94
auto 5 A (4 regions),2,64,9.0,2.812,0.349
auto 5 A (4 regions),3,64,8.0,4.016,0.511
auto 5 A (4 regions),4,64,12.0,7.172,0.602
auto 3 A (6 regions),1,64,1.0,0.749,0.749
auto 3 A (6 regions),2,64,2.0,1.828,0.784
auto 3 A (6 regions),3,64,1.0,4.187,4.187
auto 3 A (6 regions),4,64,1.0,3.432,3.432
auto 3 A (6 regions),5,64,4.0,2.104,0.546
auto 3 A (6 regions),6,64,6.0,6.062,0.995
