sequence,cross_tier,steered_ra_eff,steered_correct,was_steered,cold_ra_eff,cold_correct,cold_n_contacts,cold_n_pia_specific,cold_touches_pia_specific,cold_frac_pik_only,cold_frac_shared,cold_frac_pia_only,cold_frac_pia_specific,steered_n_contacts,steered_n_pia_specific,steered_touches_pia_specific,steered_frac_pik_only,steered_frac_shared,steered_frac_pia_only,steered_frac_pia_specific
design_52_seq_1,A,1.883,True,False,1.388,True,24,0,False,0.7,0.6666666666666666,0.2727272727272727,0.0,23,0,False,0.7,0.6666666666666666,0.2727272727272727,0.0
design_39_seq_0,A,1.703,True,False,1.658,True,18,0,False,0.55,0.3333333333333333,0.18181818181818182,0.0,18,0,False,0.55,0.3333333333333333,0.18181818181818182,0.0
design_29_seq_1,A,2.702,True,True,28.102,False,19,3,True,0.25,1.0,0.45454545454545453,0.375,20,0,False,0.65,0.3333333333333333,0.18181818181818182,0.0
design_17_seq_0,A,2.046,True,False,2.043,True,22,0,False,0.6,0.3333333333333333,0.18181818181818182,0.0,22,0,False,0.6,0.3333333333333333,0.18181818181818182,0.0
design_42_seq_0,A,2.264,True,False,2.186,True,16,0,False,0.45,0.0,0.18181818181818182,0.0,18,0,False,0.55,0.0,0.18181818181818182,0.0
design_47_seq_0,A,2.137,True,False,2.074,True,22,0,False,0.6,0.6666666666666666,0.18181818181818182,0.0,22,0,False,0.6,0.6666666666666666,0.18181818181818182,0.0
design_51_seq_1,A,1.836,True,False,1.257,True,23,0,False,0.65,0.6666666666666666,0.18181818181818182,0.0,22,0,False,0.6,0.6666666666666666,0.18181818181818182,0.0
design_40_seq_1,A,2.988,True,False,2.988,True,18,0,False,0.55,0.3333333333333333,0.18181818181818182,0.0,18,0,False,0.55,0.3333333333333333,0.18181818181818182,0.0
design_39_seq_1,A,2.897,True,True,28.857,False,18,1,True,0.4,1.0,0.2727272727272727,0.125,23,1,True,0.6,0.3333333333333333,0.36363636363636365,0.125
design_26_seq_1,A,3.077,True,True,17.636,False,13,3,True,0.2,1.0,0.45454545454545453,0.375,16,0,False,0.55,0.6666666666666666,0.18181818181818182,0.0
design_59_seq_1,A,2.336,True,False,2.336,True,21,0,False,0.6,0.3333333333333333,0.18181818181818182,0.0,21,0,False,0.6,0.6666666666666666,0.18181818181818182,0.0
design_49_seq_1,A,3.527,True,False,3.691,True,23,0,False,0.65,0.3333333333333333,0.18181818181818182,0.0,24,0,False,0.65,0.6666666666666666,0.18181818181818182,0.0
design_11_seq_0,A,2.647,True,True,34.304,False,10,1,True,0.05,0.0,0.09090909090909091,0.125,23,0,False,0.6,0.6666666666666666,0.2727272727272727,0.0
design_15_seq_1,A,3.191,True,False,3.191,True,19,0,False,0.6,0.3333333333333333,0.18181818181818182,0.0,19,0,False,0.6,0.3333333333333333,0.18181818181818182,0.0
design_47_seq_1,A,2.623,True,False,2.499,True,23,0,False,0.65,0.6666666666666666,0.18181818181818182,0.0,23,0,False,0.65,0.6666666666666666,0.18181818181818182,0.0
design_51_seq_0,A,2.384,True,False,1.954,True,26,0,False,0.7,0.6666666666666666,0.18181818181818182,0.0,23,0,False,0.6,0.6666666666666666,0.18181818181818182,0.0
design_6_seq_0,A,2.61,True,False,2.11,True,19,0,False,0.6,0.3333333333333333,0.18181818181818182,0.0,19,0,False,0.55,0.6666666666666666,0.18181818181818182,0.0
design_18_seq_0,A,3.161,True,True,31.513,False,25,2,True,0.1,1.0,0.45454545454545453,0.25,19,0,False,0.45,0.6666666666666666,0.2727272727272727,0.0
design_49_seq_0,A,3.309,True,False,3.647,True,18,0,False,0.55,0.3333333333333333,0.18181818181818182,0.0,18,0,False,0.55,0.3333333333333333,0.18181818181818182,0.0
design_40_seq_0,A,3.243,True,False,3.611,True,20,0,False,0.6,0.3333333333333333,0.18181818181818182,0.0,20,0,False,0.6,0.3333333333333333,0.18181818181818182,0.0
design_29_seq_0,A,3.673,True,False,1.875,True,24,0,False,0.65,0.6666666666666666,0.18181818181818182,0.0,23,1,True,0.6,0.6666666666666666,0.2727272727272727,0.125
design_6_seq_1,A,3.853,True,False,3.827,True,23,2,True,0.65,0.6666666666666666,0.36363636363636365,0.25,23,2,True,0.65,0.6666666666666666,0.36363636363636365,0.25
design_34_seq_0,A,2.691,True,True,29.073,False,19,1,True,0.45,1.0,0.2727272727272727,0.125,21,0,False,0.7,0.3333333333333333,0.18181818181818182,0.0
design_2_seq_0,A,4.495,True,False,3.858,True,23,0,False,0.6,0.6666666666666666,0.18181818181818182,0.0,23,0,False,0.6,0.6666666666666666,0.18181818181818182,0.0
design_5_seq_0,A,3.299,True,False,3.299,True,22,0,False,0.7,0.6666666666666666,0.09090909090909091,0.0,22,0,False,0.65,0.6666666666666666,0.18181818181818182,0.0
design_14_seq_0,B,2.935,True,True,28.547,False,18,1,True,0.4,1.0,0.2727272727272727,0.125,18,0,False,0.5,0.6666666666666666,0.18181818181818182,0.0
design_27_seq_1,B,2.147,True,True,29.607,False,17,2,True,0.25,1.0,0.45454545454545453,0.25,18,0,False,0.5,0.3333333333333333,0.2727272727272727,0.0
design_35_seq_0,B,3.758,True,False,3.758,True,22,0,False,0.65,0.3333333333333333,0.2727272727272727,0.0,22,0,False,0.65,0.3333333333333333,0.2727272727272727,0.0
design_5_seq_1,B,2.376,True,False,5.892,True,27,4,True,0.65,1.0,0.5454545454545454,0.5,21,0,False,0.6,0.6666666666666666,0.18181818181818182,0.0
