run,region,region_id,size,diversity,terminal,ss_class
auto 3 A (6 regions),1,auto 3 A (6 regions)|1,1.0,0.2750432360835554,0,strand
auto 3 A (6 regions),2,auto 3 A (6 regions)|2,2.0,1.9468165959647052,0,strand
auto 3 A (6 regions),3,auto 3 A (6 regions)|3,1.0,0.3901823400512957,0,loop
auto 3 A (6 regions),4,auto 3 A (6 regions)|4,1.0,0.21810573478090184,0,strand
auto 3 A (6 regions),5,auto 3 A (6 regions)|5,3.0,1.5054825153509404,0,strand
auto 3 A (6 regions),6,auto 3 A (6 regions)|6,6.0,3.341470752530886,1,loop
auto 5 A (4 regions),1,auto 5 A (4 regions)|1,3.5,1.9393324127234577,0,strand
auto 5 A (4 regions),2,auto 5 A (4 regions)|2,9.0,1.294138594048781,0,strand
auto 5 A (4 regions),3,auto 5 A (4 regions)|3,8.0,1.4413809896941232,0,strand
auto 5 A (4 regions),4,auto 5 A (4 regions)|4,13.0,2.973424578279399,1,strand
full (2 regions),1,full (2 regions)|1,15.0,1.3447091879373474,0,strand
full (2 regions),2,full (2 regions)|2,6.0,2.1019044663211295,1,loop
