seq_name,af3_nomsa_best_ra_eff,af3_nomsa_mean_ra_eff,af3_nomsa_best_iptm,af3_nomsa_mean_iptm,af3_nomsa_n_correct_interface,af3_nomsa_total_predictions,af3_nomsa_failures
design_15_seq_1,25.57,31.91,0.26,0.1713,0,15,
design_17_seq_0,37.269,38.157,0.24,0.1587,0,15,
design_29_seq_0,36.481,37.225,0.29,0.2353,0,15,
design_2_seq_0,28.406,36.179,0.21,0.1473,0,15,
design_35_seq_0,37.142,38.182,0.22,0.1613,0,15,
design_37_seq_1,32.988,38.027,0.18,0.1487,0,15,
design_39_seq_0,29.662,35.317,0.39,0.2147,0,15,
design_40_seq_0,34.785,35.948,0.43,0.312,0,15,
design_40_seq_1,36.456,38.15,0.26,0.1967,0,15,
design_42_seq_0,27.569,37.411,0.21,0.1473,0,15,
design_47_seq_0,29.176,37.822,0.14,0.1247,0,15,
design_47_seq_1,37.058,38.289,0.22,0.1487,0,15,
design_49_seq_0,30.77,33.056,0.63,0.5133,0,15,
design_49_seq_1,32.893,37.009,0.25,0.1887,0,15,
design_51_seq_0,36.279,37.909,0.22,0.1827,0,15,
design_51_seq_1,36.195,37.845,0.27,0.1813,0,15,
design_52_seq_1,35.215,37.769,0.25,0.21,0,15,
design_59_seq_1,30.981,38.242,0.25,0.1627,0,15,
design_5_seq_0,23.486,34.591,0.24,0.172,0,15,
design_5_seq_1,32.159,35.835,0.25,0.2047,0,15,
design_6_seq_0,28.261,33.397,0.3,0.18,0,15,
design_6_seq_1,34.087,36.916,0.24,0.182,0,15,
